NV02|Võ Anh Lực|1|31191026623|285831787|Q.7, TP HCM|X02|7340000
NV03|Trần Đức Hùng|0|0123456789|285831787|Quan Go Vap, TP.HCM|X01|7700000
NV04|Phạm Vũ Hoàng|0|0987654321|285831787|Quan Tan Binh, TP.HCM|X02|7040000
NV05|Trịnh Quốc Thắng|0|0345126789|285831787|Quan 8, TP.HCM|X01|7500000
NV06|asd|0|32|32|asd|X01|5555
X01|Xưởng Độ Xe
X02|Xưởng Độ Mixi
C01|06:00:01|14:00:00
C02|14:00:01|22:00:00
C03|22:00:01|06:00:00
NV02|12/6/2021 1:21:12 AM|12/6/2021 6:12:12 AM
NV02|12/6/2021 10:00:12 PM|13/6/2021 5:59:12 AM
NV02|1/6/2021 6:02:12 AM|1/6/2021 2:12:12 PM
NV02|2/6/2021 6:02:00 AM|2/6/2021 1:59:12 PM
NV02|5/6/2021 7:02:12 AM|5/6/2021 2:12:12 PM
NV02|6/6/2021 8:02:12 AM|6/6/2021 12:12:12 PM
NV02|7/6/2021 9:02:12 AM|7/6/2021 2:12:12 PM
NV02|8/6/2021 1:59:12 PM|8/6/2021 10:12:12 PM
NV02|9/6/2021 1:59:12 PM|9/6/2021 10:12:12 PM
NV02|10/6/2021 2:02:12 PM|10/6/2021 11:58:12 PM
NV03|12/6/2021 1:21:12 AM|12/6/2021 6:12:12 AM
NV03|12/6/2021 10:00:12 PM|13/6/2021 5:59:12 AM
NV03|1/6/2021 6:02:12 AM|1/6/2021 2:12:12 PM
NV03|2/6/2021 6:02:00 AM|2/6/2021 1:59:12 PM
NV03|4/6/2021 5:48:12 AM|4/6/2021 1:58:12 PM
NV03|5/6/2021 7:02:12 AM|5/6/2021 2:12:12 PM
NV03|7/6/2021 9:02:12 AM|7/6/2021 2:12:12 PM
NV03|8/6/2021 1:59:12 PM|8/6/2021 10:12:12 PM
NV03|9/6/2021 1:59:12 PM|9/6/2021 10:12:12 PM
NV03|10/6/2021 2:02:12 PM|10/6/2021 11:58:12 PM
NV04|12/6/2021 1:21:12 AM|12/6/2021 6:12:12 AM
NV04|12/6/2021 10:00:12 PM|13/6/2021 5:59:12 AM
NV04|1/6/2021 6:02:12 AM|1/6/2021 2:12:12 PM
NV04|2/6/2021 6:02:00 AM|2/6/2021 1:59:12 PM
NV04|3/6/2021 5:58:12 AM|3/6/2021 2:00:12 PM
NV04|4/6/2021 5:48:12 AM|4/6/2021 1:58:12 PM
NV04|5/6/2021 7:02:12 AM|5/6/2021 2:12:12 PM
NV04|10/6/2021 2:02:12 PM|10/6/2021 11:58:12 PM
NV05|12/6/2021 1:21:12 AM|12/6/2021 6:12:12 AM
NV05|12/6/2021 10:00:12 PM|13/6/2021 5:59:12 AM
NV05|1/6/2021 6:02:12 AM|1/6/2021 2:12:12 PM
NV05|2/6/2021 6:02:00 AM|2/6/2021 1:59:12 PM
NV05|3/6/2021 5:58:12 AM|3/6/2021 2:00:12 PM
NV05|4/6/2021 5:48:12 AM|4/6/2021 1:58:12 PM
NV05|5/6/2021 7:02:12 AM|5/6/2021 2:12:12 PM
NV05|6/6/2021 8:02:12 AM|6/6/2021 12:12:12 PM
NV05|7/6/2021 9:02:12 AM|7/6/2021 2:12:12 PM
NV05|10/6/2021 2:02:12 PM|10/6/2021 11:58:12 PM
NV02|20/6/2021 6:30:00 AM|20/6/2021 2:00:22 PM
