nhanvien|NV01|Trần Văn Hoài|0|0382124399|285831787|Quan 10, TP.HCM|X01|7000000
nhanvien|NV02|Võ Anh Lực|0|31191026623|285831787|Quan 5, TP.HCM|X02|7340000
nhanvien|NV03|Trần Đức Hùng|0|0123456789|285831787|Quan Go Vap, TP.HCM|X01|7700000
nhanvien|NV04|Phạm Vũ Hoàng|0|0987654321|285831787|Quan Tan Binh, TP.HCM|X02|7040000
nhanvien|NV05|Trịnh Quốc Thắng|0|0345126789|285831787|Quan 8, TP.HCM|X01|7500000
xuong|X01|Xưởng Độ Xe
xuong|X02|Xưởng Độ Mixi
ca|C01|06:00:01|14:00:00
ca|C02|14:00:01|22:00:00
ca|C03|22:00:01|06:00:00
cong|NV01|2021/06/12 1:21:12|2021/06/12 6:12:12
cong|NV01|2021/06/12 22:00:12|2021/06/13 5:59:12
cong|NV01|2021/06/01 6:02:12|2021/06/01 14:12:12
cong|NV01|2021/06/02 6:02:00|2021/06/02 13:59:12
cong|NV01|2021/06/03 5:58:12|2021/06/03 14:00:12
cong|NV01|2021/06/04 5:48:12|2021/06/04 13:58:12
cong|NV01|2021/06/05 7:02:12|2021/06/05 14:12:12
cong|NV01|2021/06/06 8:02:12|2021/06/06 12:12:12
cong|NV01|2021/06/07 9:02:12|2021/06/07 14:12:12
cong|NV01|2021/06/08 13:59:12|2021/06/08 22:12:12
cong|NV01|2021/06/09 13:59:12|2021/06/09 22:12:12
cong|NV01|2021/06/10 14:02:12|2021/06/10 23:58:12
cong|NV02|2021/06/12 1:21:12|2021/06/12 6:12:12
cong|NV02|2021/06/12 22:00:12|2021/06/13 5:59:12
cong|NV02|2021/06/01 6:02:12|2021/06/01 14:12:12
cong|NV02|2021/06/02 6:02:00|2021/06/02 13:59:12
cong|NV02|2021/06/05 7:02:12|2021/06/05 14:12:12
cong|NV02|2021/06/06 8:02:12|2021/06/06 12:12:12
cong|NV02|2021/06/07 9:02:12|2021/06/07 14:12:12
cong|NV02|2021/06/08 13:59:12|2021/06/08 22:12:12
cong|NV02|2021/06/09 13:59:12|2021/06/09 22:12:12
cong|NV02|2021/06/10 14:02:12|2021/06/10 23:58:12
cong|NV03|2021/06/12 1:21:12|2021/06/12 6:12:12
cong|NV03|2021/06/12 22:00:12|2021/06/13 5:59:12
cong|NV03|2021/06/01 6:02:12|2021/06/01 14:12:12
cong|NV03|2021/06/02 6:02:00|2021/06/02 13:59:12
cong|NV03|2021/06/04 5:48:12|2021/06/04 13:58:12
cong|NV03|2021/06/05 7:02:12|2021/06/05 14:12:12
cong|NV03|2021/06/07 9:02:12|2021/06/07 14:12:12
cong|NV03|2021/06/08 13:59:12|2021/06/08 22:12:12
cong|NV03|2021/06/09 13:59:12|2021/06/09 22:12:12
cong|NV03|2021/06/10 14:02:12|2021/06/10 23:58:12
cong|NV04|2021/06/12 1:21:12|2021/06/12 6:12:12
cong|NV04|2021/06/12 22:00:12|2021/06/13 5:59:12
cong|NV04|2021/06/01 6:02:12|2021/06/01 14:12:12
cong|NV04|2021/06/02 6:02:00|2021/06/02 13:59:12
cong|NV04|2021/06/03 5:58:12|2021/06/03 14:00:12
cong|NV04|2021/06/04 5:48:12|2021/06/04 13:58:12
cong|NV04|2021/06/05 7:02:12|2021/06/05 14:12:12
cong|NV04|2021/06/10 14:02:12|2021/06/10 23:58:12
cong|NV05|2021/06/12 1:21:12|2021/06/12 6:12:12
cong|NV05|2021/06/12 22:00:12|2021/06/13 5:59:12
cong|NV05|2021/06/01 6:02:12|2021/06/01 14:12:12
cong|NV05|2021/06/02 6:02:00|2021/06/02 13:59:12
cong|NV05|2021/06/03 5:58:12|2021/06/03 14:00:12
cong|NV05|2021/06/04 5:48:12|2021/06/04 13:58:12
cong|NV05|2021/06/05 7:02:12|2021/06/05 14:12:12
cong|NV05|2021/06/06 8:02:12|2021/06/06 12:12:12
cong|NV05|2021/06/07 9:02:12|2021/06/07 14:12:12
cong|NV05|2021/06/10 14:02:12|2021/06/10 23:58:12
